,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
1466,NonAllergen_8639,meeqgtgirveamaaeyaqqarvwaerlglplqddtaafavqvgadglqiqqlgpqapgpvrvdfvegqaahrrqfgggngqmiakavgiaqgirpqvldataglgkdafvlaslgcqmtlierqpliaalledglararadeevgpivgrmrlltgnaiermrawegeapqviyldpmfphrdksalvkkemrvfrplvgddldapalleaalalashrvvvkrprkapiidgpkpshslegkssrydiypkkalka,14.73,0.39,5.81,6.2,2.33,9.69,1.55,5.04,4.65,10.08,3.1,0.78,6.59,6.59,8.14,2.71,1.94,7.36,0.78,1.55,0
1467,NonAllergen_6375,mrvevgqivnthgikgeikvksnsdftdvrfqpgqvltvvhnnndleytvkshrvhkglhmltfeginnindiehlkgssiyqerdhedivleenefyysdiigctvfddqetpigrvinifetgandvwvikgskeylipyiadvvkevdvenkkiiitpmeglld,1.2,0.6,7.78,9.58,3.59,7.19,4.19,11.38,6.59,5.39,1.8,7.19,2.4,2.99,2.99,4.19,5.39,11.38,0.6,3.59,0
1468,NonAllergen_6170,mescyvvwssyflqlkltapillkpreirclrtglsilsqqstfvcmcrdegsftaayftyidlrdcgnvtlavqnisdvdldlkqfpliinlfafflpsinlvslpvqivermehnyiphgecraqfilygsqtklrahikrirwtelqheepthymyacefwidlqttppdqifnsakvefissrnvyfkqimlhekilvirasyennyllnpdnfpsdiffqvnfiqtiphivmernqepvmtydgtcitvgstkninsnttdpfsctfptffdskqkfaglfiprlingislntftwkerthlqvtmraykkncridysqelgkliflpsqivthdqsnidfgwtetsrilisnqnnqisvfrsettpvadspvlstvpnitaatnvsinlnslhlniakehlvpvryrmrtdnlrtflpitalphtltvlegniglqtvpcpsgnrdina,3.96,2.42,4.18,4.62,6.15,3.08,2.64,9.01,3.52,9.67,1.98,7.03,5.49,5.05,5.27,7.25,8.35,5.93,1.1,3.3,0
1469,NonAllergen_1328,mkefyisietvgnniveryidengkertreveylptmfrhckeeskykdiygkncapqkfpsmkdardwmkrmediglealgmndfklayisdtygseivydrkfvrvancdievtgdkfpdpmkaeyeidaithydsiddrfyvfdllnsmygsvskwdaklaakldceggdevpqeildrviympfdnerdmlmeyinlweqkrpaiftgwniegfdvpyimnrvkmilgersmkrfspigrvkskliqnmygskeiysidgvsildyldlykkfaftnlpsfslesvaqhetkkgklpydgpinklretnhqryisyniidvesvqaidkirgfidlvlsmsyyakmpfsgvmspiktwdaiifnslkgehkvipqqgshvkqsfpgafvfepkpiarryimsfdltslypsiirqvnispetirgqfkvhpiheyiagtapkpsdeyscspngwmydkhqegiipkeiakvffqrkdwkkkmfaeemnaeaikkiimkgagscstkpeveryvkfsddflnelsnytesvlnslieecekaatlantnqlnrkilinslygalgnihfryydlrnataitifgqvgiqwiarkineylnkvcgtndedfiaagdtdsvyvcvdkviekvgldrfkeqndlvefmnqfgkkkmepmidvayrelcdymnnrehlmhmdreaiscpplgskgvggfwkakkryalnvydmedkrfaephlkimgmetqqsstpkavqealeesirrilqegeesvqeyyknfekeyrqldykviaevktandiakyddkgwpgfkcpfhirgvltyrravsglgvapildgnkvmvlplregnpfgdkciawpsgtelpkeirsdvlswidhstlfqksfvkplagmcesagmdyeekasldflfg,5.57,1.56,6.68,8.13,4.9,6.12,1.67,8.02,8.8,6.35,3.9,4.57,4.45,2.9,4.79,6.24,3.12,5.68,1.34,5.23,0
1471,NonAllergen_9542,msfdeikthnkkaiigifmifslrvfgmfmivpvlstygmclknsniflvgvaigiygifqiifqipygwlsdkygqkliinigllcfllgniiawssnsiwgiilgrglqgsgaissvcmtllselvlphnrikimgllgvsfgisfflavilspiivnmfgfyclflinsllsifclffgmfyipasllnknvvcnfrseisnffkilsnrvlcqinlsvflihfflmcnfiiipvelkkifeffeyvpeiiyivillvsflivlfcicfiqskvlysnitittsaflfvlcygifllfghnnislilglqiffiafifletilpalvnkfssknyksttmaiystsqflgssmggiiggilfsylnyfevlffefvvsilwfitsilylik,2.54,2.79,0.51,2.54,12.18,7.11,1.02,15.99,4.06,13.96,3.05,5.58,2.03,2.03,1.27,9.39,2.79,6.35,1.02,3.81,0
1474,NonAllergen_9861,mnkwlntlsktftfrllnchyrrslplcqnfslkkslthnqvrffkmsdldnlppvdpktgeviinplkedgspktpkeiekekkkaekllkfaakqakknaaattgasqkkpkkkkevepipefidktvpgekkilvslddpalkaynpanvesswydwwiktgvfepeftadgkvkpegvfcipapppnvtgalhighaltiaiqdslirynrmkgktvlflpgfdhagiatqsvvekqiwakdrktrhdygreafvgkvwewkeeyhsriknqiqklgasydwsreaftlspeltksveeafvrlhdegviyrasrlvnwsvklntaisnlevenkdvksrtllsvpgydekvefgvltsfaypvigsdekliiattrpetifgdtavavhpdddrykhlhgkfiqhpflprkipiitdkeavdmefgtgavkitpahdqndyntgkrhnlefiniltddgllneecgpewqgmkrfdarkkvieqlkeknlyvgqednemtiptcsrsgdiiepllkpqwwvsqsemakdaikvvrdgqititpksseaeyfhwlgniqdwcisrqlwwghrcpvyfiniegeehdridgdywvagrsmeeaekkaaakypnskftleqdedvldtwfssglwpfstlgwpektkdmetfypfsmletgwdilffwvtrmillglkltgsvpfkevfchslvrdaqgrkmskslgnvidpldvitgiklddlhakllqgnldprevekakigqkesypngipqcgtdamrfalcayttggrdinldilrvegyrkfcnkiyqatkfalmrlgddyqppateglsgneslvekwilhkltetskivnealdkrdfltstssiyefwylicdvyienskyliqegsaiekksakdtlyilldnalklihpfmpfiseemwqrlpkrstekaasivkasypvyvseyddvksanaydlvlnitkearsllseynilkngkvfvesnheeyfktaedqkdsivslikaidevtvvrdaseipegcvlqsvnpevnvhllvkghvdidaeiakvqkklekakkskngieqtinskdyetkantqakeankskldntvaeiegleatienlkrlkl,6.43,1.18,6.25,8.33,3.89,5.34,2.17,6.7,10.24,8.7,1.45,4.44,4.71,2.99,3.8,6.07,5.62,6.25,2.26,3.17,0
1475,NonAllergen_8935,mtpyivilstgseltagrsvdtnsgwianqlfelgwkvkkiitlpddpnlifkelealqslakeipvlaimtgglgpteddytletvlkltgktsyavekakirltkiyeargkdykdilptvfrqtnvpegcktldnsvgiavgfieslgensylvcmpgvpsemtemfkrrlvpelkkmyprenliqktkwlwnigeslfqnefiepnrevyfketewgvtanrgyikcifqstndvmldtilkslekqypdlisddvfqyvheqllyekwtisvvesctggllgkklteragssayfmggfltysnemksnllgipketietfgavsdevafamvdglclktgtdfgvsitgiagpeggseekpvgtvciglkepngkikvhrylfpgnresirenasntalfliyqslkgkvv,4.32,1.44,3.84,8.87,4.08,8.87,0.48,6.95,8.15,10.31,2.4,4.32,4.32,2.4,3.12,6.24,7.67,6.95,1.44,3.84,0
1476,NonAllergen_7970,minisinkpiqplligkvgksygilgwinifsfteeqekifnylpwfffkeknwtriqiknwkkyknnfivhikdisdrsvvsqftnadiiiskhtlpalkkndyywndiinykvfnidqhylgtvinlirtrnndilivknklkihqknilipfidnkiiknvntdkkfilvqwd,1.14,0.0,5.68,2.27,6.25,2.84,2.27,17.61,13.07,6.82,0.57,11.93,2.84,3.98,2.27,3.98,3.98,5.11,3.41,3.98,0
1477,NonAllergen_7938,matvnqlvrkprapkvdktnvpaldacpqkrgvctrvytttpkkpnsalrkvarvrltngfevtsyiggeghnlqehsvilirggrvkdlpgvryhtvrgaldcagvserrqgrskygakrpks,7.26,2.42,3.23,3.23,0.81,9.68,2.42,2.42,8.87,6.45,0.81,4.03,6.45,3.23,12.1,4.84,7.26,11.29,0.0,3.23,0
1478,NonAllergen_8052,mesdpmfigfgydrhplvegrrlvlagveidaplgslghsdgdvlshaiidallgagclgdigtwfpetkeykdansldllketvkileergfsvvnvdatvvasivklspyrekivenlksaletsrvnvkfksgntlgfegeergisayavclveekgctkst,6.67,1.82,6.06,9.7,3.64,10.3,1.82,5.45,6.67,10.91,1.21,3.03,3.03,0.0,4.24,7.88,4.85,9.7,0.61,2.42,0
1479,NonAllergen_1879,mvdqnpkrsgeppvwlmfgaggtvsaiflpvviliiglllpfglvnvhnlitfayswigklvilvltifpmwcglhrihhgmhdlkvhvpaggfifyglatiytvwvlfavinl,5.26,0.88,1.75,0.88,7.02,10.53,5.26,10.53,2.63,14.04,3.51,3.51,6.14,0.88,1.75,2.63,4.39,12.28,3.51,2.63,0
1480,NonAllergen_3175,mtdsswptderprerllahgaqslsdaellaiflrtgttgmpvmalarhlidefsglrglmtasrrqflqvkglgtakyaqvqaamemarrvmdeplrqgdplrspadtrrfltsrlgtyphevfaglfldnrhrviqyrelfrgtidgaavyprevvrqalednaaavifahnhpsgvaepsqadisltrrlkealglvdirvldhmvighgevislaerglm,11.16,0.0,5.8,6.25,3.57,7.59,3.57,4.02,1.34,12.05,4.02,1.34,4.46,4.02,11.16,5.36,5.36,6.7,0.45,1.79,0
1482,NonAllergen_1073,manydvlkldgtksgsielsdavfgiepnnsvlfeainlqraslrqgthavknrsavsgggrkpwkqkgtgrarqgtirapqwrgggivfgptprsyaykmpkkmrrlalrsalsfkaqengltvvdafnfeapktkefknvlstleqpkkvlvvtenedvnvelsarnipgvqvttaqglnvlditnadslviteaaakkveevlg,9.66,0.0,3.38,6.28,3.38,8.7,0.48,3.86,8.21,8.7,1.45,6.28,4.35,4.35,6.28,6.28,6.28,9.66,0.97,1.45,0
1484,NonAllergen_8454,mrkkvllmgrsgsgkssmrsivfsnyvakdtrrlgatidiehshvrflgnlvlnlwdcggqeafmenylsaqrdhifrnvqvliyvfdvesreferdlvtfrncleatvanspqarvfclihkmdlvqedlrdlvfeerkailletskdlettclatsiwdetlfkawsaivytlipntptleshlrefakaaeaaevilferttflvissyssesnpatdahrfekisnivkqfklscskmqaqfttfelrggnfsafivpytedtyilvviadpeiesavtlmniqsarrfieasksasdgiqlqp,8.12,1.62,4.87,8.12,6.49,3.25,1.95,6.82,4.55,9.74,2.27,3.9,2.27,3.57,6.49,9.09,6.49,7.14,0.97,2.27,0
1485,NonAllergen_501,mtqtlsqlehdgafierhigpsvsqqqhmlsvvgatsldalirqivpadiqlpsppavgeavtehealaelkaiagrnqryksyigmgysavlmppvilrnvlenpgwytaytpyqpevsqgrleallnfqqvtqdltgldlasaslldeataaaeamamakrisklkqaerffvaddvhpqtldvvrtraetfgfeivvgkaeealkddavfgvllqqagttgelhdysdlmaalkarkvvscvasdimalvlltapgkqgadivfgsaqrfgvpmgyggphaaffacrdehkrampgriigvsrdaagntafrmamqtreqhirrekansnictsqvllaniagmyavfhgpeglkriagrihrltdilaagltqgglllrhrswfdtltievadkdvvlsralsfginlrsdlasavgitldeattredvlalfavllgddhgldiealdasiaqevatipagllrhdailshpvfnryhsetemmrylhrlarkdlalnqamiplgsctmklnaaaemlpitwpefaelhpfcppeqalgyrqmieqlsgwlvqltgydavcmqpnsgaqgeyagllairryhesrneagrhlclipssahgtnpasaqmagmevvvvacdkqgnidlhdlrekaqaageqlscimvtypsthgvyeetirevcqivhqyggqvyldganmnaqvgittpgyigadvshlnlhktfciphggggpgmgpigvkahlapfvpghqvvkidgvlteqgavsaapfgsasilpiswmyirmmgaeglkqasqmailnanyiatrlqqaypvlytgrdgrvahecildirplkestgisemdiakrlidygfhaptmsfpvagtlmveptesesqveidrfidamlairseinrvaqgewplddnplvnaphtqaelvadwahpysrelavfpagsehkywpsvkrlddvygdrnlfcscvpmsdya,12.02,1.46,5.22,5.85,2.82,8.05,3.55,5.75,2.72,9.82,3.55,2.61,5.02,5.02,5.43,5.54,4.7,7.0,0.84,3.03,0
1486,NonAllergen_2072,mkrsisifitclliavltmggllpspasaagtktpvakngqlsikgtqlvnrdgkavqlkgisshglqwygdfvnkdslkwlrddwgitvfraamytadggyidnpsvknkvkeaveaakelgiyviidwhilndgnpnqnkekakeffkemsslygntpnviyeianepngdvnwkrdikpyaeevisvirkndpdniiivgtgtwsqdvndaaddqlkdanvmyalhfyagthgqslrdkanyalskgapifvtewgtsdasgnggvfldqsrewlnyldskniswvnwnlsdkqesssalkpgasktggwpltdltasgtfvrenirgtkdstkdvpetpaqdnptqekgvsvqykagdgrvnsnqirpqlhiknngnatvdlkdvtarywynvknkgqnfdcdyaqmgcgnlthkfvtlhkpkqgadtylelgfktgtlspgastgniqlrlhnddwsnyaqsgdysffqsntfkttkkitlyhqgkliwgtepn,7.01,0.6,7.21,3.61,3.01,9.02,1.8,5.61,8.42,7.21,1.2,8.02,3.81,4.41,2.81,7.01,6.81,5.81,2.81,3.81,0
1489,NonAllergen_3014,mehkgqylhlvflmttvwassssgtrpnythlwassvtasgssnqngssrhpsdnntnlvtpavghkvsatdkpassppvplaststlksstphafrnssptaeiksqgetfkkevceentsntamlicliviavlflictflflstvvlankvsslkrskqvgkrqprsngdflassglwtaesdtwkrakeltgsnlllqspgvltaarerkheegtekln,7.62,1.35,1.79,5.38,3.14,5.38,3.14,2.24,6.73,10.31,1.35,5.83,4.93,2.69,4.04,14.8,9.87,6.73,1.79,0.9,0
1490,NonAllergen_9594,makqifytlflfllstailtasssapraaitskrainfiqasckattyptvcvnsltgyansiqtsprrlaetalnvtvtqaqstkvfvwrlgrftslkkreiqavkdcieeihdavdrltmsihevkmcgsakgrdqfwfhmsnaqtwtsaaltnantcsdgfagrvmdgrvknsvrarilnlgrgtsnalalinafakky,12.87,2.48,2.97,2.48,4.95,4.46,1.49,5.94,5.94,7.92,2.48,5.45,1.49,3.96,6.93,8.91,9.9,5.94,1.49,1.98,0
1491,NonAllergen_5751,maqrernredrgreerdsefvdklvhinrvakvvkggrrfgfaalvvvgdqkgrvgfghgkarevpeairkateaakrdmifvplrsgrtlhhdvegrhgagkvllraapagkgiiaggpmravfetlgvqdvvakslgssnpynmvratfdalkhqmhpkdiaaqrgikystlqarrhdvvgsee,11.29,0.0,5.38,6.45,3.76,11.29,4.3,3.76,6.99,5.38,2.69,2.15,3.23,3.23,11.83,3.76,2.69,10.75,0.0,1.08,0
1492,NonAllergen_4603,mdktkiidgkmvselikakiteqilkikakkqrvpaltiiqignnkasttyiknkkiacekvgvtckvlnypdiitesalikiindlnnnskidailvqlplpshinsekvintiitkkdvdgftpkilgnlmlghynllpstpkgiiallkhyqiqlagqhvviigrsnivgkplanllinasatvtvchsqtknlsdftnqadilisavgkakfvtaemikenvividvginrdednnlcgdidfhnvfskvkmitpvpggvgpmtiaallenilyfyqlnqki,6.29,1.4,4.9,3.15,2.1,5.59,2.1,14.34,10.84,9.44,2.1,8.39,3.85,3.85,1.05,4.55,6.29,7.69,0.0,2.1,0
1494,NonAllergen_7429,mssvklivglgnpggqyeqtrhnagfwfvedvarqynvqfrpetkflgeaariqsngldvwllkpmtfmnrsgqsiqaiakfykiapeeilvvhdeldldpgvarlktsgghgghnglrdtiaalgtkdfkrlrlgighpgdrnqvvdyvlkapsktdraliddaiydatrvlpdllnddmaramnelhtkt,8.33,0.0,8.33,4.17,3.65,9.38,3.12,5.21,5.73,10.42,2.6,4.69,4.17,4.17,6.77,3.65,5.21,6.77,1.04,2.6,0
1495,NonAllergen_5188,mswqtyvddhllceiegnhlthaailgqdgsvwaksasfpqfkpeeitgimndfnepgtlaptglyiggtkymviqgepgsvirgkkgpggvtvkktnlalvigiydepmtpgqcnmiverlgdylieqgl,4.58,1.53,4.58,6.87,2.29,13.74,2.29,8.4,5.34,8.4,3.82,3.82,6.11,4.58,1.53,3.82,6.87,6.11,1.53,3.82,0
1496,NonAllergen_7683,mteplrivfagtpefaaehlkalldsphqivavytqpdrpagrgqklmpspvkqlalqhdvpvmqpptlrdpaaqaelaalqpdlmvvvayglilpqvvldiprlgcinshasllprwrgaapiqravqagdaesgvtvmrmeagldtgpmllkavtpitaqdtggtlhdrlaelgppavlqaiagladgtlvgevqddslanyahklnkdearldwtrpadelerlvrafnpwpichstlneetlkvlaadlaegqgapgtilgaskdglivacgqnalrltrlqlpggkplnftdlfnsrrekfaigtvlgq,12.74,0.96,6.05,4.78,1.91,8.28,2.23,3.82,3.18,14.01,2.23,2.55,8.28,5.73,5.73,2.87,5.73,7.01,0.96,0.96,0
1497,NonAllergen_932,mfgamlryligisffadsrfpwatltinllgsfllawltsyvfkkvrlsphlstaigtgfvgsfttfstlsvetislfqdghnflamvyvlvsllggltmshlgfkvskevqks,5.26,0.0,1.75,1.75,10.53,8.77,2.63,4.39,4.39,15.79,3.51,1.75,1.75,1.75,2.63,12.28,8.77,7.89,1.75,2.63,0
1498,NonAllergen_8712,mplriifmgtpefsvptlaalveagheiaavytqpprpggrrgldlqkspvhqaaellgvpvltpvnfkdaadrqafrdfnadvavvvayglllpeeilsgtrygcynghasllprwrgaapiqraimagdretgmmvmkmdkgldtgpvaltktvpigetmtagelhdklmhagaalmkeamvklelgelpltpqpqegvlyaakiskdetridftkpaadvhnhirglapfpgawfeletagrterikvlgsepaagagapgtilddaltiacgdgavrptrlqraggkplatpdflrgspiaagtric,13.5,0.96,5.14,5.79,2.89,10.61,2.25,4.82,4.18,10.29,3.54,1.29,8.36,2.57,6.43,2.25,6.75,6.11,0.64,1.61,0
1499,NonAllergen_2740,myrtllkskvhrikitgadlhyegsltldeeimeaanlipfekievynvnngqrfstyvipgvrysgecilngaaarlghygdiiiiasyaavnekdlesfkvnlvyidentntikekkevlalnskvlaktne,8.21,0.75,3.73,9.7,2.24,5.97,2.24,9.7,8.21,9.7,1.49,8.21,1.49,0.75,3.73,5.22,5.22,7.46,0.0,5.97,0
1501,NonAllergen_1667,mknniintqqsfvtmpnvivpdiekeirrmengacssfsedddsastseesenenphargsfsykslrkggpsqreqylpgaialfnvnnssnkdqepeekkkkkkekksksddknenkndpekkkkkkdkekkkkeekskdkkeeekkevvvidpsgntyynwlfcitlpvmynwtmviaracfdelqsdyleywlildyvsdivylidmfvrtrtgyleqgllvkeelklinkyksnlqfkldvlsliptdllyfklgwnypeirlnrllrfsrmfeffqrtetrtnypnifrisnlvmyiviiihwnacvfysiskaigfgndtwvypdindpefgrlarkyvyslywstltlttigetpppvrdseyvfvvvdfligvlifativgnigsmisnmnaaraefqaridaikqymhfrnvskdmekrvikwfdylwtnkktvdekevlkylpdklraeiainvhldtlkkvrifadceagllvelvlklqpqvyspgdyickkgdigremyiikegklavvaddgvtqfvvlsdgsyfgeisilnikgskagnrrtaniksigysdlfclskddlmealteypdaktmleekgkqilmkdglldlnianagsdpkdleekvtrmegsvdllqtrfarilaeyesmqqklkqrltkvekflkplidtefssiegpgaesgpidst,4.52,1.02,6.71,8.16,4.37,4.96,0.58,7.43,10.5,9.18,2.62,5.54,3.64,2.77,4.52,6.85,4.52,6.27,1.31,4.52,0
1503,NonAllergen_2755,mtdpieqaferiraeamrrngsvpdlnkndafrrppapkggvekrkkgrasgldgrqkryvrgaeslgsvlnkeiqrrgwgkdiaggwvtsnweelvgakiaqhtrvemikdkklfitcdstawatnlrmmqrqilqviaekvgpniitelrifgpqapswrkgplhvkgrgprdtyg,7.87,0.56,4.49,6.18,2.25,10.67,1.12,6.74,8.43,5.62,2.81,3.93,5.62,4.49,11.24,3.93,4.49,5.62,2.81,1.12,0
1504,NonAllergen_6740,mlnkdqfadnhfirtiieddlksgkheavqtrfppepngylhighaksiclnfglayiydglcnlrfddtnpekendeyvnaikedvewlgfhwageprfasdyfdrlydyavglikdgkayvddltpeemreyrgtlteagknspyrdrsieenldlftrmkngefpdgsktlrlkidmaagninmrdpviyrirrahhhntgdkwciypmydythcisdaiegithslctlefeahrplydwvldnipalhatrprqyefsrlellytitskrklnqlvvekhvsgwddprmptisgmrrrgytpegvrlfakragisksenivdmsvlegaireelensaprlmavlnplkvtltnfqagktqsrraafhpnheemgdrevpvsqtiyieaddfaenppkgfkrlipggevrlrhgyvikcgevvkdeagnvvelkcsidhdtlgknpegrkvkgvihwvsaehaaeikvrlydrlftverpgavrgedgeylpftdflnpesvkeitayaepaakdlpaesrwqferigyfvtdrqdhgkdtpvfnrtvtlkdswqpk,6.58,1.25,7.47,8.54,4.09,6.76,3.56,5.69,6.05,7.65,1.96,4.63,5.52,1.78,7.65,4.09,5.16,5.87,1.42,4.27,0
1505,NonAllergen_4172,masgvrqelaqlmnssgshkdlagkyrqilekalqftdaeqlealkafveamvnenvslvisrqlltdfcahlpnlpddiakvvchftlekiqprvisfeeqvasirqhlatiyekqedwrnaaqvlvgipletgqkqynvdykldtylkiarlyledddpvqaeayinrasllqnestneqlqihykvcyarvldyrrkfieaaqrynelsyksivheterlealkhalhctilasagqqrsrmlatlfkdercqqlaaygilekmyldriirgnqlqefaamlmphqkattadgssildraviehnllsasklynnitfeelgalleippakaekiasqmitegrmngfidqidgivhfetreplptwdkqiqslcfqvnnllekisqtapewtaqaieaqmsq,10.34,1.48,4.68,8.62,2.96,3.2,2.71,7.14,5.42,11.58,2.46,4.19,2.71,8.37,5.17,5.42,4.43,4.68,0.74,3.69,0
1506,NonAllergen_7198,mthrnsrqdtkelkpiadiaatiglseddieaygrykakvrleaisrfhsrpdaslilvsamtptpagegkttvsiglaqalarlgkatiaalrepslgpvfgmkggatggglsrvhpvddinlhftndfaavesahnllsaivdnsvyhdnilnidprkvtwrrvldmndrflrniviglggsvngvpretgfdivpsseimailclsrsyrelkekirrilvgftyddspvmagdlkvegavtallkyallpnlvqttenvpaiihggpfaniaqgtssilgtdlalrladyvvteagfgfdlgaekffdivapygglnprivvlvatvralkyhagiaqadldrsnpraavlgmanlrkhyqnidkfhvscvialnrfssdtdeeinavvraaenegmniapcdifrlggegglelaektlellagtscgyrrlyewnqpvedkiftvaseiygavsidyqplarrnldlinkygfdklpvciaktqqslsdnpgllglprdfivtvreiriasgagflipitgeilrmpglskrpaaysididdsgnitgvgspggissls,9.91,0.88,6.37,4.96,3.36,9.2,1.77,8.14,3.89,10.44,1.59,4.6,4.78,1.77,6.55,6.55,4.96,7.08,0.35,2.83,0
1507,NonAllergen_6856,mtkkeqalieqyakslvevasehhsldalqadvlailetfvttnldqslsslavphaekiklltllkgnnsvymnnflnlilqnereaylyqmlqavlneiaivsnqydvtvtsslplteeqksrvravvakkfavtagrliekvdpsliggfiisvnnkvidtsirrqlqafkmnlk,8.99,0.0,3.37,6.74,2.81,2.25,1.69,6.74,7.3,14.04,2.25,6.74,1.69,6.18,3.37,7.87,5.62,9.55,0.0,2.81,0
1509,NonAllergen_3167,msktvvrknesledalrrfkrsvsksgtiqevrkrefyekpsvkrkkkseaarkrkfk,5.17,0.0,1.72,10.34,5.17,1.72,0.0,1.72,22.41,3.45,1.72,1.72,1.72,1.72,15.52,12.07,3.45,8.62,0.0,1.72,0
1511,NonAllergen_522,mkkittifvvllmtvalfsignttaadndsvveehgqlsisngelvnergeqvqlkgmsshglqwygqfvnyesmkwlrddwginvfraamytssggyiddpsvkekvkeaveaaidldiyviidwhilsdndpniykeeakdffdemselygdypnviyeianepngsdvtwgnqikpyaeevipiirnndpnniiivgtgtwsqdvhhaadnqladpnvmyafhfyagthgqnlrdqvdyaldqgaaifvsewgtsaatgdggvfldeaqvwidfmdernlswanwslthkdessaalmpganptggwteaelspsgtfvrekiresasippsdptppsdpgepdptppsdpgeypawdpnqiytneivyhngqlwqakwwtqnqepgdpygpwepln,7.5,0.0,8.25,7.5,3.0,7.75,2.25,6.75,3.25,5.25,2.25,6.75,7.0,4.25,2.0,6.75,5.0,6.25,4.0,4.25,0
1512,NonAllergen_8964,maalageeawrcrgcgnyvplsqrlyrtaneawhsscfrcsecqesltnwyyekdgklychkdywakfgefchgcsllmtgpamvagefkyhpecfacmsckviiedgdayalvqhatlycgkchnevvlapmferlstesvqdqlpysvtlismpattecrrgfsvsvesassnyattvqvkevnrmhispnnrnaihpgdrileingtpvrtlrveevedainqtsqtlqlliehdpvpqrldqlrldtrlsphmqssghtlmlstldakenqegtlrrrslrrsnsiskspgpsspkeplllsrdisrseslrcsssysqqifrpcdlihgevlgkgffgqaikvthkatgkvmvmkelircdeetqktfltevkvmrsldhpnvlkfigvlykdkklnllteyieggtlkdflrnvdpfpwqqkvrfakgiasgmaylhsmciihrdlnshnclikldktvvvadfglsrliveerkrppvekaatkkrtlrksdrkkrytvvgnpywmapemlngksydetvdvfsfgivlceiigqvyadpdclprtldfglnvklfwekfvptdcppaffplaaiccklepesrpafskledsfealslflgelaiplpaeleeldhtvsmeygltrdspp,5.8,3.76,4.86,7.52,4.08,5.33,2.82,4.23,6.11,10.5,2.66,3.29,5.64,3.13,6.27,7.99,5.33,6.43,1.1,3.13,0
1514,NonAllergen_2691,mskpettaapnflrqivqadldagkhakivtrfppepngylhighaksiclnfglaqefagdchlrfddtnpakedqeyidaieadikwlgfqwsgevcyasnyfdqlhawavelikagkafvcdlgpeemreyrgtltepgrnspyrdrsveenldlfarmkagefpdgarslrakidmgspnmnlrdpilyrirhahhhqtgdkwciypsydfthgqsdaiegithsictlefedhrplyewflanlpvpaqprqyefsrlnlnytvtskrklkqlvdeghvsgwddprmstlsgyrrrgytpesirnfcemigvnrasgvvdigmlefsirdhldatapramcvlkplkvvitnypegqvenlelprhpkedmgvrvlpfgrelfidagdfeevppagykrlipggevrlrgsyviradeaikdadgnivelrcsydpdtlgknpegrkvkgvihwvpaegsvecevrlydrlfrsanpekaeeggsfldninadslqvlagcraepslgqanpedrfqferegyfvadlkdsrpgkpvfnrtvtlrdswgqg,7.37,1.98,7.19,8.09,4.5,8.09,2.88,4.86,4.5,8.09,1.8,4.14,6.47,2.88,7.91,5.04,3.42,5.76,1.44,3.6,0
1515,NonAllergen_8897,mslnfldfekpiveletkiqalrdvsrhstsasvdldkeleqlekkslelkkkifsdlgawqvaqlarhpqrpytldylkhiftefdelagdrayaddkaivggiarlegrsvmvighqkgretrekvkrnfgmpkpegyrkalrlmemaerfnmpiitfidtagaypgvgaeergqseaiaknlkvmsglkvpvicnvvgeggsggalaigvgdyvnmlqystysvispegcasilwrdsdkapqaaeamgliaprlkelelideiieeplggahrdhkqtaenvkatllrqladldaldhenllerryqrlmnygyc,9.4,0.94,5.96,9.09,2.51,8.15,2.19,5.96,6.9,10.97,3.13,2.82,3.76,3.76,6.58,5.02,3.13,5.64,0.63,3.45,0
1518,NonAllergen_7513,meellmsfklkaiypltggynrhsinefyeenvrpteikglwrwwnrvlfntvsyvkegklytydsidrlfedvfgsenkksavrlevitdegsdnhfelsnveldnvidclkanreekvnldfrdntliieiegstkipisfksnldidkikdlvyknkllsfellgfksikidtkisdkevikeilrdlitnyleyfnikqevtftlniyldkslkhkqnfdaklkfalhsllvfillggigrktsrgfgglsivnaechdglcgeiygivnnmesekekkdlatvlpniifsqtieqyfselinnesyklrswnnnsdffvyyfikdinilrinridtnvnrngienilnrisnelsasgnclkdlimqemrrrafalaflgnrkfrniheiyprileflyanyikrefvnligkerrlsnlrfkileinntyyiisyllyssylkdpnssikdtlyqfarcvi,2.78,1.07,5.35,8.14,6.0,4.5,1.28,10.71,8.35,11.78,1.07,9.42,1.28,1.28,5.78,7.07,3.64,4.5,0.86,5.14,0
1519,NonAllergen_7276,mmkirigngydihrlvperplilggirlehacgllghsdadvlthaimdallgalslgdighyfppsdpqwagadsqvllakvaaliaergwrvgnidavvvaerpklkpyldpmrdrlattlgidrdqisikattneklgpvgreegiaayavallqsgm,11.8,0.62,7.45,4.35,0.62,10.56,3.11,8.07,3.73,13.04,3.11,1.86,5.59,2.48,6.83,3.73,3.11,6.21,1.24,2.48,0
